label,sentence1,sentence2
1,điều 1 luật giao thông đường bộ,luật giao thông đường bộ điều 1 là gì
1,điều 1 luật giao thông đường bộ,luật giao thông đường bộ điều một là gì
1,điều 1 luật giao thông đường bộ,điều một luật giao thông đường bộ
1,điều 1 luật giao thông đường bộ,luật giao thông điều 1 là gì
1,điều 1 luật giao thông đường bộ,điều 1 luật giao thông
1,điều 1 luật giao thông đường bộ,cho biết luật giao thông đường bộ điều 1
1,điều 1 luật giao thông đường bộ,điều một luật giao thông đường bộ
1,điều 1 luật giao thông đường bộ,cho tôi biết luật giao thông đường bộ điều 1
1,điều 1 luật giao thông đường bộ,giải thích luật giao thông đường bộ điều 1
1,điều 1 luật giao thông đường bộ,giải thích cho tôi luật giao thông đường bộ điều 1
1,điều 1 luật giao thông đường bộ,cho biết luật giao thông điều 1
1,điều 1 luật giao thông đường bộ,điều 1 luật giao thông
1,điều 1 luật giao thông đường bộ,điều đầu tiên trong luật giao thông đường bộ
1,điều 1 luật giao thông đường bộ,điều một luật giao thông đường bộ
1,điều 1 luật giao thông đường bộ,điều đầu tiên trong luật giao thông
1,điều 1 luật giao thông đường bộ,điều 1 luật giao thông
1,phạm vi điều chỉnh luật giao thông đường bộ,luật giao thông đường bộ để làm gì
1,phạm vi điều chỉnh luật giao thông đường bộ,luật giao thông để làm gì
1,phạm vi điều chỉnh luật giao thông đường bộ,phạm vi điều chỉnh luật giao thông
1,phạm vi điều chỉnh luật giao thông đường bộ,luật giao thông đường bộ tác động đến ai
1,phạm vi điều chỉnh luật giao thông đường bộ,luật giao thông đường bộ tác động đến người nào
1,phạm vi điều chỉnh luật giao thông đường bộ,luật giao thông đường bộ tác động đến ai
1,phạm vi điều chỉnh luật giao thông đường bộ,luật giao thông tác động đến ai
1,phạm vi điều chỉnh luật giao thông đường bộ,phạm vi điều chỉnh luật giao thông
1,luật giao thông đường bộ 2008,luật giao thông năm 2008
1,luật giao thông đường bộ 2008,luật giao thông năm 2 không không 8
1,luật giao thông đường bộ 2008,luật giao thông đường bộ 2 không không 8
1,luật giao thông đường bộ 2008,luật giao thông 2008
1,luật giao thông đường bộ 2008,luật giao thông đường bộ năm 2008 quy định những gì
1,luật giao thông đường bộ 2008,luật giao thông đường bộ năm 2 không không 8 quy định những gì
1,luật giao thông đường bộ 2008,luật giao thông đường bộ 2 không không 8
1,luật giao thông đường bộ 2008,luật giao thông năm 2008 quy định những gì
1,luật giao thông đường bộ 2008,luật giao thông 2008
1,chương 1 gồm bao nhiêu điều,chương 1 trong luật giao thông đường bộ có mấy điều
1,chương 1 gồm bao nhiêu điều,chương một trong luật giao thông đường bộ có mấy điều
